Nombre;Longitud;Latitud;Fecha;SO2;NO;NO2;NOX;PM10;PM25;CO;O3;SH2;BEN;TOL;OXL
ANORGA;-1.995741147;43.29053139;2015-04-21;5. MUY BAJO;5. MUY BAJO;1. MUY ALTO;1. MUY ALTO;;1. MUY ALTO;;;;;;
ANORGA;-1.995741147;43.29053139;2015-04-20;5. MUY BAJO;5. MUY BAJO;2. ALTO;4. BAJO;;1. MUY ALTO;;;;;;
ANORGA;-1.995741147;43.29053139;2015-04-19;5. MUY BAJO;5. MUY BAJO;4. BAJO;5. MUY BAJO;;3. MEDIO;;;;;;
ANORGA;-1.995741147;43.29053139;2015-04-18;5. MUY BAJO;5. MUY BAJO;2. ALTO;3. MEDIO;;1. MUY ALTO;;;;;;
ANORGA;-1.995741147;43.29053139;2015-04-17;5. MUY BAJO;5. MUY BAJO;1. MUY ALTO;3. MEDIO;;1. MUY ALTO;;;;;;
ANORGA;-1.995741147;43.29053139;2015-04-16;5. MUY BAJO;5. MUY BAJO;1. MUY ALTO;3. MEDIO;;1. MUY ALTO;;;;;;
ANORGA;-1.995741147;43.29053139;2015-04-15;5. MUY BAJO;5. MUY BAJO;1. MUY ALTO;1. MUY ALTO;;2. ALTO;;;;;;
ANORGA;-1.995741147;43.29053139;2015-04-14;5. MUY BAJO;5. MUY BAJO;1. MUY ALTO;2. ALTO;;1. MUY ALTO;;;;;;
ANORGA;-1.995741147;43.29053139;2015-04-13;5. MUY BAJO;5. MUY BAJO;1. MUY ALTO;1. MUY ALTO;;1. MUY ALTO;;;;;;
ANORGA;-1.995741147;43.29053139;2015-04-12;5. MUY BAJO;5. MUY BAJO;1. MUY ALTO;4. BAJO;;1. MUY ALTO;;;;;;
ANORGA;-1.995741147;43.29053139;2015-04-11;5. MUY BAJO;5. MUY BAJO;3. MEDIO;4. BAJO;;1. MUY ALTO;;;;;;
ANORGA;-1.995741147;43.29053139;2015-04-10;5. MUY BAJO;5. MUY BAJO;1. MUY ALTO;1. MUY ALTO;;1. MUY ALTO;;;;;;
ANORGA;-1.995741147;43.29053139;2015-04-09;3. MEDIO;5. MUY BAJO;1. MUY ALTO;1. MUY ALTO;;2. ALTO;;;;;;
ANORGA;-1.995741147;43.29053139;2015-04-08;5. MUY BAJO;5. MUY BAJO;2. ALTO;5. MUY BAJO;;3. MEDIO;;;;;;
ANORGA;-1.995741147;43.29053139;2015-04-07;5. MUY BAJO;5. MUY BAJO;1. MUY ALTO;3. MEDIO;;1. MUY ALTO;;;;;;
ANORGA;-1.995741147;43.29053139;2015-04-06;5. MUY BAJO;5. MUY BAJO;3. MEDIO;4. BAJO;;1. MUY ALTO;;;;;;
ANORGA;-1.995741147;43.29053139;2015-04-05;5. MUY BAJO;5. MUY BAJO;4. BAJO;5. MUY BAJO;;1. MUY ALTO;;;;;;
ANORGA;-1.995741147;43.29053139;2015-04-04;5. MUY BAJO;5. MUY BAJO;5. MUY BAJO;5. MUY BAJO;;5. MUY BAJO;;;;;;
ANORGA;-1.995741147;43.29053139;2015-04-03;5. MUY BAJO;5. MUY BAJO;3. MEDIO;4. BAJO;;1. MUY ALTO;;;;;;
ANORGA;-1.995741147;43.29053139;2015-04-02;5. MUY BAJO;5. MUY BAJO;3. MEDIO;4. BAJO;;1. MUY ALTO;;;;;;
ANORGA;-1.995741147;43.29053139;2015-04-01;5. MUY BAJO;5. MUY BAJO;2. ALTO;5. MUY BAJO;;1. MUY ALTO;;;;;;
ANORGA;-1.995741147;43.29053139;2015-03-31;5. MUY BAJO;5. MUY BAJO;4. BAJO;5. MUY BAJO;;2. ALTO;;;;;;
ANORGA;-1.995741147;43.29053139;2015-03-30;5. MUY BAJO;5. MUY BAJO;1. MUY ALTO;4. BAJO;;2. ALTO;;;;;;
ANORGA;-1.995741147;43.29053139;2015-03-29;5. MUY BAJO;5. MUY BAJO;2. ALTO;4. BAJO;;2. ALTO;;;;;;
ANORGA;-1.995741147;43.29053139;2015-03-28;5. MUY BAJO;5. MUY BAJO;3. MEDIO;5. MUY BAJO;;2. ALTO;;;;;;
ANORGA;-1.995741147;43.29053139;2015-03-27;5. MUY BAJO;5. MUY BAJO;1. MUY ALTO;4. BAJO;;3. MEDIO;;;;;;
ANORGA;-1.995741147;43.29053139;2015-03-26;5. MUY BAJO;5. MUY BAJO;1. MUY ALTO;4. BAJO;;4. BAJO;;;;;;
ANORGA;-1.995741147;43.29053139;2015-03-25;5. MUY BAJO;5. MUY BAJO;2. ALTO;5. MUY BAJO;;5. MUY BAJO;;;;;;
ANORGA;-1.995741147;43.29053139;2015-03-24;5. MUY BAJO;5. MUY BAJO;1. MUY ALTO;2. ALTO;;1. MUY ALTO;;;;;;
ANORGA;-1.995741147;43.29053139;2015-03-23;5. MUY BAJO;5. MUY BAJO;1. MUY ALTO;1. MUY ALTO;;1. MUY ALTO;;;;;;
ANORGA;-1.995741147;43.29053139;2015-03-22;5. MUY BAJO;5. MUY BAJO;2. ALTO;4. BAJO;;1. MUY ALTO;;;;;;
ANORGA;-1.995741147;43.29053139;2015-03-21;5. MUY BAJO;5. MUY BAJO;1. MUY ALTO;3. MEDIO;;1. MUY ALTO;;;;;;
ANORGA;-1.995741147;43.29053139;2015-03-20;5. MUY BAJO;5. MUY BAJO;1. MUY ALTO;3. MEDIO;;1. MUY ALTO;;;;;;
ANORGA;-1.995741147;43.29053139;2015-03-19;5. MUY BAJO;5. MUY BAJO;2. ALTO;3. MEDIO;;1. MUY ALTO;;;;;;
ANORGA;-1.995741147;43.29053139;2015-03-18;5. MUY BAJO;5. MUY BAJO;1. MUY ALTO;1. MUY ALTO;;1. MUY ALTO;;;;;;
ANORGA;-1.995741147;43.29053139;2015-03-17;5. MUY BAJO;5. MUY BAJO;1. MUY ALTO;1. MUY ALTO;;1. MUY ALTO;;;;;;
ANORGA;-1.995741147;43.29053139;2015-03-16;5. MUY BAJO;5. MUY BAJO;1. MUY ALTO;1. MUY ALTO;;1. MUY ALTO;;;;;;
ANORGA;-1.995741147;43.29053139;2015-03-15;5. MUY BAJO;5. MUY BAJO;2. ALTO;4. BAJO;;1. MUY ALTO;;;;;;
ANORGA;-1.995741147;43.29053139;2015-03-14;5. MUY BAJO;5. MUY BAJO;4. BAJO;5. MUY BAJO;;1. MUY ALTO;;;;;;
ANORGA;-1.995741147;43.29053139;2015-03-13;5. MUY BAJO;5. MUY BAJO;4. BAJO;5. MUY BAJO;;1. MUY ALTO;;;;;;
ANORGA;-1.995741147;43.29053139;2015-03-12;5. MUY BAJO;5. MUY BAJO;1. MUY ALTO;3. MEDIO;;1. MUY ALTO;;;;;;
ANORGA;-1.995741147;43.29053139;2015-03-11;5. MUY BAJO;5. MUY BAJO;1. MUY ALTO;1. MUY ALTO;;1. MUY ALTO;;;;;;
ANORGA;-1.995741147;43.29053139;2015-03-10;5. MUY BAJO;5. MUY BAJO;1. MUY ALTO;1. MUY ALTO;;1. MUY ALTO;;;;;;
ANORGA;-1.995741147;43.29053139;2015-03-09;5. MUY BAJO;5. MUY BAJO;1. MUY ALTO;2. ALTO;;1. MUY ALTO;;;;;;
ANORGA;-1.995741147;43.29053139;2015-03-08;5. MUY BAJO;5. MUY BAJO;1. MUY ALTO;3. MEDIO;;1. MUY ALTO;;;;;;
ANORGA;-1.995741147;43.29053139;2015-03-07;5. MUY BAJO;5. MUY BAJO;1. MUY ALTO;2. ALTO;;1. MUY ALTO;;;;;;
ANORGA;-1.995741147;43.29053139;2015-03-06;5. MUY BAJO;4. BAJO;1. MUY ALTO;1. MUY ALTO;;1. MUY ALTO;;;;;;
ANORGA;-1.995741147;43.29053139;2015-03-05;5. MUY BAJO;5. MUY BAJO;1. MUY ALTO;4. BAJO;;1. MUY ALTO;;;;;;
ANORGA;-1.995741147;43.29053139;2015-03-04;5. MUY BAJO;5. MUY BAJO;1. MUY ALTO;4. BAJO;;4. BAJO;;;;;;
ANORGA;-1.995741147;43.29053139;2015-03-03;5. MUY BAJO;5. MUY BAJO;1. MUY ALTO;1. MUY ALTO;;1. MUY ALTO;;;;;;
ANORGA;-1.995741147;43.29053139;2015-03-02;5. MUY BAJO;5. MUY BAJO;1. MUY ALTO;1. MUY ALTO;;2. ALTO;;;;;;
ANORGA;-1.995741147;43.29053139;2015-03-01;5. MUY BAJO;5. MUY BAJO;2. ALTO;4. BAJO;;3. MEDIO;;;;;;
ANORGA;-1.995741147;43.29053139;2015-02-28;5. MUY BAJO;5. MUY BAJO;1. MUY ALTO;3. MEDIO;;2. ALTO;;;;;;
ANORGA;-1.995741147;43.29053139;2015-02-27;5. MUY BAJO;5. MUY BAJO;2. ALTO;4. BAJO;;3. MEDIO;;;;;;
ANORGA;-1.995741147;43.29053139;2015-02-26;5. MUY BAJO;5. MUY BAJO;3. MEDIO;5. MUY BAJO;;5. MUY BAJO;;;;;;
ANORGA;-1.995741147;43.29053139;2015-02-25;5. MUY BAJO;5. MUY BAJO;5. MUY BAJO;5. MUY BAJO;;3. MEDIO;;;;;;
ANORGA;-1.995741147;43.29053139;2015-02-24;5. MUY BAJO;5. MUY BAJO;3. MEDIO;5. MUY BAJO;;3. MEDIO;;;;;;
ANORGA;-1.995741147;43.29053139;2015-02-23;5. MUY BAJO;5. MUY BAJO;1. MUY ALTO;2. ALTO;;3. MEDIO;;;;;;
ANORGA;-1.995741147;43.29053139;2015-02-22;5. MUY BAJO;5. MUY BAJO;5. MUY BAJO;5. MUY BAJO;;3. MEDIO;;;;;;
ANORGA;-1.995741147;43.29053139;2015-02-21;5. MUY BAJO;5. MUY BAJO;5. MUY BAJO;5. MUY BAJO;;4. BAJO;;;;;;
ANORGA;-1.995741147;43.29053139;2015-02-20;5. MUY BAJO;5. MUY BAJO;1. MUY ALTO;2. ALTO;;1. MUY ALTO;;;;;;
ANORGA;-1.995741147;43.29053139;2015-02-19;5. MUY BAJO;4. BAJO;1. MUY ALTO;1. MUY ALTO;;1. MUY ALTO;;;;;;
ANORGA;-1.995741147;43.29053139;2015-02-18;5. MUY BAJO;5. MUY BAJO;1. MUY ALTO;2. ALTO;;1. MUY ALTO;;;;;;
ANORGA;-1.995741147;43.29053139;2015-02-17;5. MUY BAJO;5. MUY BAJO;2. ALTO;4. BAJO;;1. MUY ALTO;;;;;;
ANORGA;-1.995741147;43.29053139;2015-02-16;5. MUY BAJO;5. MUY BAJO;1. MUY ALTO;3. MEDIO;;2. ALTO;;;;;;
ANORGA;-1.995741147;43.29053139;2015-02-15;5. MUY BAJO;5. MUY BAJO;3. MEDIO;4. BAJO;;3. MEDIO;;;;;;
ANORGA;-1.995741147;43.29053139;2015-02-14;5. MUY BAJO;5. MUY BAJO;3. MEDIO;4. BAJO;;4. BAJO;;;;;;
ANORGA;-1.995741147;43.29053139;2015-02-13;5. MUY BAJO;5. MUY BAJO;1. MUY ALTO;3. MEDIO;;1. MUY ALTO;;;;;;
ANORGA;-1.995741147;43.29053139;2015-02-12;5. MUY BAJO;5. MUY BAJO;1. MUY ALTO;3. MEDIO;;1. MUY ALTO;;;;;;
ANORGA;-1.995741147;43.29053139;2015-02-11;5. MUY BAJO;5. MUY BAJO;1. MUY ALTO;1. MUY ALTO;;1. MUY ALTO;;;;;;
ANORGA;-1.995741147;43.29053139;2015-02-10;5. MUY BAJO;4. BAJO;1. MUY ALTO;1. MUY ALTO;;1. MUY ALTO;;;;;;
ANORGA;-1.995741147;43.29053139;2015-02-09;5. MUY BAJO;5. MUY BAJO;1. MUY ALTO;1. MUY ALTO;;1. MUY ALTO;;;;;;
ANORGA;-1.995741147;43.29053139;2015-02-08;5. MUY BAJO;5. MUY BAJO;1. MUY ALTO;4. BAJO;;1. MUY ALTO;;;;;;
ANORGA;-1.995741147;43.29053139;2015-02-07;5. MUY BAJO;5. MUY BAJO;3. MEDIO;3. MEDIO;;1. MUY ALTO;;;;;;
ANORGA;-1.995741147;43.29053139;2015-02-06;5. MUY BAJO;5. MUY BAJO;1. MUY ALTO;2. ALTO;;1. MUY ALTO;;;;;;
ANORGA;-1.995741147;43.29053139;2015-02-05;5. MUY BAJO;5. MUY BAJO;3. MEDIO;4. BAJO;;1. MUY ALTO;;;;;;
ANORGA;-1.995741147;43.29053139;2015-02-04;5. MUY BAJO;5. MUY BAJO;1. MUY ALTO;3. MEDIO;;1. MUY ALTO;;;;;;
ANORGA;-1.995741147;43.29053139;2015-02-03;5. MUY BAJO;5. MUY BAJO;1. MUY ALTO;3. MEDIO;;3. MEDIO;;;;;;
ANORGA;-1.995741147;43.29053139;2015-02-02;5. MUY BAJO;5. MUY BAJO;1. MUY ALTO;1. MUY ALTO;;4. BAJO;;;;;;
ANORGA;-1.995741147;43.29053139;2015-02-01;5. MUY BAJO;5. MUY BAJO;4. BAJO;5. MUY BAJO;;4. BAJO;;;;;;
ANORGA;-1.995741147;43.29053139;2015-01-31;5. MUY BAJO;5. MUY BAJO;4. BAJO;5. MUY BAJO;;4. BAJO;;;;;;
ANORGA;-1.995741147;43.29053139;2015-01-30;5. MUY BAJO;5. MUY BAJO;1. MUY ALTO;4. BAJO;;3. MEDIO;;;;;;
ANORGA;-1.995741147;43.29053139;2015-01-29;5. MUY BAJO;5. MUY BAJO;1. MUY ALTO;2. ALTO;;3. MEDIO;;;;;;
ANORGA;-1.995741147;43.29053139;2015-01-28;5. MUY BAJO;5. MUY BAJO;1. MUY ALTO;1. MUY ALTO;;1. MUY ALTO;;;;;;
ANORGA;-1.995741147;43.29053139;2015-01-27;5. MUY BAJO;5. MUY BAJO;1. MUY ALTO;3. MEDIO;;2. ALTO;;;;;;
ANORGA;-1.995741147;43.29053139;2015-01-26;5. MUY BAJO;4. BAJO;1. MUY ALTO;1. MUY ALTO;;1. MUY ALTO;;;;;;
ANORGA;-1.995741147;43.29053139;2015-01-25;5. MUY BAJO;5. MUY BAJO;1. MUY ALTO;4. BAJO;;1. MUY ALTO;;;;;;
ANORGA;-1.995741147;43.29053139;2015-01-24;5. MUY BAJO;5. MUY BAJO;1. MUY ALTO;3. MEDIO;;1. MUY ALTO;;;;;;
ANORGA;-1.995741147;43.29053139;2015-01-23;5. MUY BAJO;4. BAJO;1. MUY ALTO;1. MUY ALTO;;1. MUY ALTO;;;;;;
ANORGA;-1.995741147;43.29053139;2015-01-22;5. MUY BAJO;5. MUY BAJO;1. MUY ALTO;1. MUY ALTO;;3. MEDIO;;;;;;
ANORGA;-1.995741147;43.29053139;2015-01-21;5. MUY BAJO;5. MUY BAJO;1. MUY ALTO;2. ALTO;;3. MEDIO;;;;;;
ANORGA;-1.995741147;43.29053139;2015-01-20;5. MUY BAJO;5. MUY BAJO;1. MUY ALTO;1. MUY ALTO;;1. MUY ALTO;;;;;;
ANORGA;-1.995741147;43.29053139;2015-01-19;5. MUY BAJO;5. MUY BAJO;1. MUY ALTO;3. MEDIO;;4. BAJO;;;;;;
ANORGA;-1.995741147;43.29053139;2015-01-18;5. MUY BAJO;4. BAJO;1. MUY ALTO;1. MUY ALTO;;3. MEDIO;;;;;;
ANORGA;-1.995741147;43.29053139;2015-01-17;5. MUY BAJO;5. MUY BAJO;1. MUY ALTO;2. ALTO;;3. MEDIO;;;;;;
ANORGA;-1.995741147;43.29053139;2015-01-16;5. MUY BAJO;5. MUY BAJO;1. MUY ALTO;2. ALTO;;4. BAJO;;;;;;
ANORGA;-1.995741147;43.29053139;2015-01-15;5. MUY BAJO;3. MEDIO;1. MUY ALTO;1. MUY ALTO;;2. ALTO;;;;;;
ANORGA;-1.995741147;43.29053139;2015-01-14;5. MUY BAJO;3. MEDIO;1. MUY ALTO;1. MUY ALTO;;1. MUY ALTO;;;;;;
ANORGA;-1.995741147;43.29053139;2015-01-13;5. MUY BAJO;3. MEDIO;1. MUY ALTO;1. MUY ALTO;;2. ALTO;;;;;;
ANORGA;-1.995741147;43.29053139;2015-01-12;5. MUY BAJO;3. MEDIO;1. MUY ALTO;1. MUY ALTO;;2. ALTO;;;;;;
ANORGA;-1.995741147;43.29053139;2015-01-11;5. MUY BAJO;5. MUY BAJO;2. ALTO;4. BAJO;;1. MUY ALTO;;;;;;
ANORGA;-1.995741147;43.29053139;2015-01-10;5. MUY BAJO;4. BAJO;1. MUY ALTO;1. MUY ALTO;;1. MUY ALTO;;;;;;
ANORGA;-1.995741147;43.29053139;2015-01-09;5. MUY BAJO;2. ALTO;1. MUY ALTO;1. MUY ALTO;;1. MUY ALTO;;;;;;
ANORGA;-1.995741147;43.29053139;2015-01-08;5. MUY BAJO;3. MEDIO;1. MUY ALTO;1. MUY ALTO;;1. MUY ALTO;;;;;;
ANORGA;-1.995741147;43.29053139;2015-01-07;5. MUY BAJO;3. MEDIO;1. MUY ALTO;1. MUY ALTO;;1. MUY ALTO;;;;;;
ANORGA;-1.995741147;43.29053139;2015-01-06;5. MUY BAJO;4. BAJO;1. MUY ALTO;1. MUY ALTO;;1. MUY ALTO;;;;;;
ANORGA;-1.995741147;43.29053139;2015-01-05;5. MUY BAJO;3. MEDIO;1. MUY ALTO;1. MUY ALTO;;1. MUY ALTO;;;;;;
ANORGA;-1.995741147;43.29053139;2015-01-04;5. MUY BAJO;5. MUY BAJO;1. MUY ALTO;1. MUY ALTO;;1. MUY ALTO;;;;;;
ANORGA;-1.995741147;43.29053139;2015-01-03;5. MUY BAJO;4. BAJO;1. MUY ALTO;1. MUY ALTO;;1. MUY ALTO;;;;;;
ANORGA;-1.995741147;43.29053139;2015-01-02;5. MUY BAJO;2. ALTO;1. MUY ALTO;1. MUY ALTO;;1. MUY ALTO;;;;;;
ANORGA;-1.995741147;43.29053139;2015-01-01;5. MUY BAJO;5. MUY BAJO;1. MUY ALTO;1. MUY ALTO;;1. MUY ALTO;;;;;;
BEASAIN;-2.19138027;43.04809432;2015-10-01;5. MUY BAJO;3. MEDIO;1. MUY ALTO;1. MUY ALTO;4. BAJO;1. MUY ALTO;3. MEDIO;;;4. BAJO;1. MUY ALTO;
BEASAIN;-2.19138027;43.04809432;2015-09-30;5. MUY BAJO;5. MUY BAJO;1. MUY ALTO;1. MUY ALTO;5. MUY BAJO;;5. MUY BAJO;;;5. MUY BAJO;1. MUY ALTO;
BEASAIN;-2.19138027;43.04809432;2015-09-29;5. MUY BAJO;5. MUY BAJO;1. MUY ALTO;1. MUY ALTO;4. BAJO;1. MUY ALTO;3. MEDIO;;;4. BAJO;1. MUY ALTO;
BEASAIN;-2.19138027;43.04809432;2015-09-28;5. MUY BAJO;5. MUY BAJO;1. MUY ALTO;1. MUY ALTO;3. MEDIO;1. MUY ALTO;5. MUY BAJO;;;1. MUY ALTO;1. MUY ALTO;
BEASAIN;-2.19138027;43.04809432;2015-09-27;5. MUY BAJO;5. MUY BAJO;2. ALTO;3. MEDIO;5. MUY BAJO;;2. ALTO;;;4. BAJO;5. MUY BAJO;
BEASAIN;-2.19138027;43.04809432;2015-09-26;5. MUY BAJO;5. MUY BAJO;3. MEDIO;3. MEDIO;5. MUY BAJO;3. MEDIO;4. BAJO;;;5. MUY BAJO;1. MUY ALTO;
BEASAIN;-2.19138027;43.04809432;2015-09-25;5. MUY BAJO;5. MUY BAJO;2. ALTO;1. MUY ALTO;4. BAJO;1. MUY ALTO;3. MEDIO;;;5. MUY BAJO;2. ALTO;
BEASAIN;-2.19138027;43.04809432;2015-09-24;5. MUY BAJO;5. MUY BAJO;2. ALTO;2. ALTO;5. MUY BAJO;;5. MUY BAJO;;;5. MUY BAJO;4. BAJO;
BEASAIN;-2.19138027;43.04809432;2015-09-23;5. MUY BAJO;5. MUY BAJO;1. MUY ALTO;2. ALTO;5. MUY BAJO;5. MUY BAJO;5. MUY BAJO;;;5. MUY BAJO;5. MUY BAJO;
BEASAIN;-2.19138027;43.04809432;2015-09-22;5. MUY BAJO;5. MUY BAJO;1. MUY ALTO;3. MEDIO;5. MUY BAJO;3. MEDIO;5. MUY BAJO;;;5. MUY BAJO;5. MUY BAJO;
BEASAIN;-2.19138027;43.04809432;2015-09-21;5. MUY BAJO;5. MUY BAJO;2. ALTO;1. MUY ALTO;4. BAJO;;5. MUY BAJO;;;5. MUY BAJO;5. MUY BAJO;
BEASAIN;-2.19138027;43.04809432;2015-09-20;5. MUY BAJO;5. MUY BAJO;2. ALTO;3. MEDIO;5. MUY BAJO;;4. BAJO;;;5. MUY BAJO;5. MUY BAJO;
BEASAIN;-2.19138027;43.04809432;2015-09-19;5. MUY BAJO;5. MUY BAJO;2. ALTO;3. MEDIO;5. MUY BAJO;4. BAJO;5. MUY BAJO;;;5. MUY BAJO;2. ALTO;
BEASAIN;-2.19138027;43.04809432;2015-09-18;5. MUY BAJO;5. MUY BAJO;1. MUY ALTO;2. ALTO;5. MUY BAJO;4. BAJO;5. MUY BAJO;;;5. MUY BAJO;1. MUY ALTO;
BEASAIN;-2.19138027;43.04809432;2015-09-17;;5. MUY BAJO;1. MUY ALTO;2. ALTO;5. MUY BAJO;5. MUY BAJO;5. MUY BAJO;;;5. MUY BAJO;5. MUY BAJO;
BEASAIN;-2.19138027;43.04809432;2015-09-16;;5. MUY BAJO;2. ALTO;3. MEDIO;5. MUY BAJO;5. MUY BAJO;5. MUY BAJO;;;5. MUY BAJO;5. MUY BAJO;
BEASAIN;-2.19138027;43.04809432;2015-09-15;5. MUY BAJO;4. BAJO;1. MUY ALTO;1. MUY ALTO;5. MUY BAJO;2. ALTO;5. MUY BAJO;;;5. MUY BAJO;2. ALTO;
BEASAIN;-2.19138027;43.04809432;2015-09-14;5. MUY BAJO;5. MUY BAJO;1. MUY ALTO;2. ALTO;5. MUY BAJO;4. BAJO;5. MUY BAJO;;;5. MUY BAJO;5. MUY BAJO;
BEASAIN;-2.19138027;43.04809432;2015-09-13;5. MUY BAJO;5. MUY BAJO;2. ALTO;3. MEDIO;5. MUY BAJO;;5. MUY BAJO;;;5. MUY BAJO;5. MUY BAJO;
BEASAIN;-2.19138027;43.04809432;2015-09-12;5. MUY BAJO;5. MUY BAJO;3. MEDIO;4. BAJO;5. MUY BAJO;2. ALTO;5. MUY BAJO;;;5. MUY BAJO;5. MUY BAJO;
BEASAIN;-2.19138027;43.04809432;2015-09-11;5. MUY BAJO;5. MUY BAJO;1. MUY ALTO;1. MUY ALTO;4. BAJO;1. MUY ALTO;4. BAJO;;;5. MUY BAJO;4. BAJO;
BEASAIN;-2.19138027;43.04809432;2015-09-10;5. MUY BAJO;5. MUY BAJO;1. MUY ALTO;1. MUY ALTO;4. BAJO;1. MUY ALTO;5. MUY BAJO;;;5. MUY BAJO;3. MEDIO;
BEASAIN;-2.19138027;43.04809432;2015-09-09;5. MUY BAJO;4. BAJO;1. MUY ALTO;1. MUY ALTO;4. BAJO;1. MUY ALTO;4. BAJO;;;5. MUY BAJO;1. MUY ALTO;
BEASAIN;-2.19138027;43.04809432;2015-09-08;5. MUY BAJO;5. MUY BAJO;1. MUY ALTO;1. MUY ALTO;5. MUY BAJO;;5. MUY BAJO;;;5. MUY BAJO;2. ALTO;
BEASAIN;-2.19138027;43.04809432;2015-09-07;5. MUY BAJO;5. MUY BAJO;1. MUY ALTO;1. MUY ALTO;5. MUY BAJO;;4. BAJO;;;5. MUY BAJO;2. ALTO;
BEASAIN;-2.19138027;43.04809432;2015-09-06;5. MUY BAJO;5. MUY BAJO;4. BAJO;4. BAJO;5. MUY BAJO;4. BAJO;5. MUY BAJO;;;5. MUY BAJO;5. MUY BAJO;
BEASAIN;-2.19138027;43.04809432;2015-09-05;5. MUY BAJO;5. MUY BAJO;3. MEDIO;4. BAJO;5. MUY BAJO;;5. MUY BAJO;;;5. MUY BAJO;5. MUY BAJO;
BEASAIN;-2.19138027;43.04809432;2015-09-04;5. MUY BAJO;5. MUY BAJO;1. MUY ALTO;4. BAJO;5. MUY BAJO;5. MUY BAJO;5. MUY BAJO;;;5. MUY BAJO;5. MUY BAJO;
BEASAIN;-2.19138027;43.04809432;2015-09-03;5. MUY BAJO;5. MUY BAJO;1. MUY ALTO;2. ALTO;5. MUY BAJO;;5. MUY BAJO;;;5. MUY BAJO;4. BAJO;
BEASAIN;-2.19138027;43.04809432;2015-09-02;5. MUY BAJO;5. MUY BAJO;3. MEDIO;3. MEDIO;5. MUY BAJO;;5. MUY BAJO;;;5. MUY BAJO;4. BAJO;
BEASAIN;-2.19138027;43.04809432;2015-09-01;5. MUY BAJO;5. MUY BAJO;1. MUY ALTO;3. MEDIO;5. MUY BAJO;5. MUY BAJO;5. MUY BAJO;;;5. MUY BAJO;5. MUY BAJO;
BEASAIN;-2.19138027;43.04809432;2015-08-31;5. MUY BAJO;5. MUY BAJO;1. MUY ALTO;3. MEDIO;4. BAJO;3. MEDIO;5. MUY BAJO;;;5. MUY BAJO;5. MUY BAJO;
BEASAIN;-2.19138027;43.04809432;2015-08-30;5. MUY BAJO;5. MUY BAJO;3. MEDIO;4. BAJO;4. BAJO;4. BAJO;5. MUY BAJO;;;5. MUY BAJO;5. MUY BAJO;
BEASAIN;-2.19138027;43.04809432;2015-08-29;5. MUY BAJO;5. MUY BAJO;1. MUY ALTO;3. MEDIO;5. MUY BAJO;;5. MUY BAJO;;;5. MUY BAJO;5. MUY BAJO;
BEASAIN;-2.19138027;43.04809432;2015-08-28;5. MUY BAJO;5. MUY BAJO;1. MUY ALTO;1. MUY ALTO;5. MUY BAJO;;5. MUY BAJO;;;5. MUY BAJO;2. ALTO;
BEASAIN;-2.19138027;43.04809432;2015-08-27;5. MUY BAJO;5. MUY BAJO;1. MUY ALTO;1. MUY ALTO;5. MUY BAJO;3. MEDIO;5. MUY BAJO;;;5. MUY BAJO;2. ALTO;
BEASAIN;-2.19138027;43.04809432;2015-08-26;5. MUY BAJO;5. MUY BAJO;3. MEDIO;3. MEDIO;5. MUY BAJO;4. BAJO;5. MUY BAJO;;;5. MUY BAJO;5. MUY BAJO;
BEASAIN;-2.19138027;43.04809432;2015-08-25;5. MUY BAJO;5. MUY BAJO;2. ALTO;3. MEDIO;5. MUY BAJO;;5. MUY BAJO;;;5. MUY BAJO;1. MUY ALTO;
BEASAIN;-2.19138027;43.04809432;2015-08-24;5. MUY BAJO;5. MUY BAJO;2. ALTO;4. BAJO;5. MUY BAJO;5. MUY BAJO;5. MUY BAJO;;;4. BAJO;1. MUY ALTO;
BEASAIN;-2.19138027;43.04809432;2015-08-23;5. MUY BAJO;5. MUY BAJO;4. BAJO;4. BAJO;5. MUY BAJO;;5. MUY BAJO;;;5. MUY BAJO;5. MUY BAJO;
BEASAIN;-2.19138027;43.04809432;2015-08-22;5. MUY BAJO;5. MUY BAJO;3. MEDIO;4. BAJO;5. MUY BAJO;1. MUY ALTO;5. MUY BAJO;;;5. MUY BAJO;5. MUY BAJO;
BEASAIN;-2.19138027;43.04809432;2015-08-21;5. MUY BAJO;5. MUY BAJO;1. MUY ALTO;3. MEDIO;4. BAJO;2. ALTO;4. BAJO;;;5. MUY BAJO;4. BAJO;
BEASAIN;-2.19138027;43.04809432;2015-08-20;5. MUY BAJO;5. MUY BAJO;3. MEDIO;3. MEDIO;5. MUY BAJO;;5. MUY BAJO;;;5. MUY BAJO;5. MUY BAJO;
BEASAIN;-2.19138027;43.04809432;2015-08-19;5. MUY BAJO;5. MUY BAJO;3. MEDIO;4. BAJO;5. MUY BAJO;;5. MUY BAJO;;;5. MUY BAJO;4. BAJO;
BEASAIN;-2.19138027;43.04809432;2015-08-18;5. MUY BAJO;5. MUY BAJO;2. ALTO;3. MEDIO;;;5. MUY BAJO;;;5. MUY BAJO;4. BAJO;
BEASAIN;-2.19138027;43.04809432;2015-08-17;5. MUY BAJO;5. MUY BAJO;3. MEDIO;4. BAJO;;3. MEDIO;5. MUY BAJO;;;5. MUY BAJO;5. MUY BAJO;
